"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","results"
"1",1,"enrichment","anterior","C5orf63",11.3769705446539,1.0414825602422e-23,1.47463515704693e-19,3985,"ENSG00000164241","c(""anterior_top1""; ""anterior-middle_top1""; ""anterior-posterior_top1""; ""all_top1"")"
"2",2,"enrichment","anterior","GPM6A",9.86947038285701,3.86967731580076e-19,2.26962090457021e-15,3614,"ENSG00000150625","c(""anterior_top2""; ""anterior-middle_top3""; ""anterior-posterior_top2""; ""all_top3"")"
"3",3,"enrichment","anterior","TRIM31",8.728294798627,7.82258060086746e-16,2.76899796819206e-12,4431,"ENSG00000204616","c(""anterior_top3""; ""anterior-middle_top2""; ""anterior-posterior_top3""; ""all_top4"")"
"4",4,"enrichment","anterior","BX324167.1",8.22266006864689,2.00031445119668e-14,5.66449046289876e-11,13597,"ENSG00000235091","c(""anterior_top4""; ""anterior-middle_top6""; ""anterior-posterior_top4""; ""all_top5"")"
"5",5,"enrichment","anterior","MTRNR2L1",7.80824168218918,2.65484350392074e-13,6.26498819533563e-10,10999,"ENSG00000256618","c(""anterior_top5""; ""anterior-middle_top5""; ""anterior-posterior_top9""; ""all_top6"")"
"6",6,"enrichment","anterior","MARCKS",7.38862691633405,3.38646710579688e-12,5.99362346887225e-09,4832,"ENSG00000277443","c(""anterior_top6""; ""anterior-middle_top14""; ""anterior-posterior_top5""; ""all_top9"")"
"7",7,"enrichment","anterior","BASP1",7.1657577264356,1.26828450179208e-11,1.82878383360441e-08,3697,"ENSG00000176788","c(""anterior_top7""; ""anterior-middle_top18""; ""anterior-posterior_top6""; ""all_top10"")"
"8",8,"enrichment","anterior","TMBIM6",7.10262350900079,1.83587722294124e-11,2.36310778178409e-08,8438,"ENSG00000139644","c(""anterior_top8""; ""anterior-middle_top11""; ""anterior-posterior_top11""; ""all_top17"")"
"9",9,"enrichment","anterior","ACTN4",7.07669583283679,2.13585102918111e-11,2.52012622684794e-08,12361,"ENSG00000130402","c(""anterior_top9""; ""anterior-middle_top9""; ""anterior-posterior_top13""; ""all_top18"")"
"10",10,"enrichment","anterior","MTRNR2L3",6.83633117440995,8.55374983073062e-11,7.50317366511081e-08,13088,"ENSG00000256222","c(""anterior_top10""; ""anterior-middle_top8"")"
